Country,GDP,GDP Growth,Interest Rate,Inflation Rate,Jobless Rate,GovBudget,Debt/GDP,Current Account,Population
Nepal                                             ,41,,7.50,7.50,5.10,-5.40,41.40,-12.80,30.55
Latvia                                            ,41,0.20,4.50,1.00,6.50,-4.60,41.00,-4.70,1.88
Estonia                                           ,38,-1.30,4.50,4.00,7.30,-1.00,18.50,-3.20,1.33
El Salvador                                       ,32,1.20,5.02,2.11,5.00,-1.81,78.03,-8.30,6.34
Honduras                                          ,32,1.30,3.00,5.04,8.70,-1.29,48.06,-3.40,9.60
Papua New Guinea                                  ,31,,2.50,1.41,2.80,-5.60,49.80,22.10,10.14
Cambodia                                          ,30,,0.87,3.20,0.36,-7.30,36.80,-26.90,16.77
Zambia                                            ,30,,11.00,12.90,6.10,-7.80,56.20,3.90,19.61
Trinidad and Tobago                               ,28,-4.00,3.50,1.30,3.70,0.60,83.30,19.90,1.37
Cyprus                                            ,28,1.10,4.50,1.70,5.80,2.40,85.60,-7.90,0.90
Iceland                                           ,28,-3.80,9.25,8.00,3.50,-4.10,68.70,-2.00,0.38
Senegal                                           ,28,0.10,5.25,2.40,18.60,-6.10,75.00,-17.50,17.70
Georgia                                           ,25,,10.00,0.10,15.60,-3.00,39.80,-3.10,3.69
Bosnia and Herzegovina                            ,25,1.00,4.01,2.13,13.10,-0.40,20.30,-4.50,3.44
Lebanon                                           ,23,,7.75,215.43,12.60,-4.91,150.60,-12.90,5.50
Macau                                             ,22,,5.75,1.10,2.40,,,-2.40,0.67
Gabon                                             ,21,,5.00,2.90,21.50,0.80,55.10,1.20,2.39
Guinea                                            ,21,,11.00,7.85,5.70,-1.30,35.50,28.83,13.26
Zimbabwe                                          ,21,,130.00,21.60,7.90,-0.90,92.60,1.00,15.18
Yemen                                             ,21,,27.00,0.77,13.59,-5.20,68.66,-5.90,33.70
Haiti                                             ,20,,17.00,22.80,14.80,0.66,25.00,-2.30,11.58
Botswana                                          ,20,-3.50,2.40,3.10,25.40,-3.20,26.10,2.20,2.34
Armenia                                           ,20,,9.50,-0.50,11.70,-2.50,49.27,0.10,2.98
Albania                                           ,19,0.40,3.25,3.90,10.70,-3.70,64.60,-6.00,2.79
Burkina Faso                                      ,19,,5.25,-1.60,5.20,-8.50,54.30,-5.20,22.10
Mali                                              ,19,,5.25,-1.80,2.80,-4.40,,-7.20,22.59
Palestine                                         ,19,,,7.20,24.10,3.60,18.50,-15.00,5.40
Mozambique                                        ,18,2.00,17.25,5.36,25.04,-3.70,101.00,-39.10,31.62
Malta                                             ,18,2.40,4.50,4.20,2.50,-5.70,52.30,-3.00,0.52
Jamaica                                           ,17,0.20,7.00,5.10,4.50,0.30,86.20,-3.20,2.83
