symbol,name,current,chg,percent,current_year_percent,volume,amount,turnover_rate,pe_ttm,dividend_yield,market_capital
SH600256,广汇能源,6.97,-0.1,-1.41,-13.42,32265700,225648091.0,0.49,5.877,11.461,45763313319.0
SH600515,海南机场,4.05,-0.01,-0.25,-19.32,55878938,225281295.0,0.61,49.218,,46272503888.0
SH600513,联环药业,11.68,-0.37,-3.07,26.25,19219453,223601465.0,6.73,25.51,1.289,3334129234.0
SH603288,海天味业,35.65,-0.7,-1.93,-45.63,6224812,222127366.0,0.11,33.776,1.636,198235409394.0
SH600104,上汽集团,13.9,-0.22,-1.56,-1.24,15838282,219568685.0,0.14,10.917,2.426,162400112974.0
SH600089,特变电工,13.22,-0.25,-1.86,-9.97,16505117,218663939.0,0.33,4.71,6.52,66796826504.0
SH600011,华能国际,7.76,-0.02,-0.26,1.97,28309269,218356215.0,0.26,13.359,,121817204466.0
SH600373,中文传媒,14.21,0.38,2.75,55.18,15551769,218213644.0,1.15,9.76,5.285,19255455447.0
SH600375,汉马科技,6.86,-0.42,-5.77,8.03,31227132,217104349.0,4.77,-9.1,,4488599830.0
SH600444,国机通用,15.44,-0.66,-4.1,22.25,14115932,216849987.0,9.64,89.57,0.839,2260754630.0
SH603477,巨星农牧,37.11,0.81,2.23,52.3,5906495,216158564.0,1.17,-209.067,0.086,18781470974.0
SH603589,口子窖,44.1,-1.61,-3.52,-21.42,4842471,215108768.0,0.81,15.588,3.409,26460000000.0
SH601456,国联证券,11.47,0.04,0.35,1.96,18759133,214644168.0,0.79,38.188,0.873,32480438237.0
SH601858,中国科传,30.31,0.02,0.07,182.69,7109871,214404440.0,0.9,49.577,0.919,23960055000.0
SH600287,江苏舜天,7.17,-0.25,-3.37,38.89,30459864,213045811.0,6.97,41.309,1.252,3146539974.0
SH600487,亨通光电,11.84,-0.25,-2.07,-20.95,17890945,212309543.0,0.73,14.842,0.676,29206138339.0
SH603005,晶方科技,22.38,-0.25,-1.1,21.07,9387356,211234396.0,1.44,124.133,0.312,14605528758.0
SH600667,太极实业,7.32,-0.12,-1.61,41.86,28799016,210936196.0,1.37,55.828,2.316,15417312103.0
SH603153,上海建科,18.53,-0.15,-0.8,63.49,11363800,209777666.0,20.66,24.558,1.125,7594726294.0
SH600703,三安光电,13.64,-0.09,-0.66,-20.29,15306300,209440833.0,0.31,-529.934,0.367,68050215436.0
SH603009,北特科技,14.17,0.67,4.96,138.42,14848602,208532301.0,4.39,136.665,0.283,5083205361.0
SH600678,四川金顶,8.9,0.81,10.01,51.62,23617437,208506480.0,6.77,17318.415,,3106011000.0
SH601816,京沪高铁,5.02,0.06,1.21,2.25,41904302,208429492.0,0.09,30.054,0.22,246514552747.0
SH605111,新洁能,36.97,-1.29,-3.37,-32.93,5567023,208146682.0,1.88,35.235,0.789,11024151696.0
SH600318,新力金融,7.25,0.08,1.12,7.25,28624220,207413958.0,5.58,-37.534,,3717275332.0
SH600228,返利科技,8.75,-0.49,-5.3,22.21,23448046,207402216.0,8.25,694.221,,5308395146.0
SH600027,华电国际,5.16,-0.11,-2.09,-9.34,40033910,206054123.0,0.47,23.338,3.868,52774215446.0
SH600884,杉杉股份,12.78,-0.82,-6.03,-28.36,16027946,205938110.0,0.91,17.138,2.353,28869925850.0
SH600792,云煤能源,5.33,0.13,2.5,53.6,39974900,205113907.0,4.04,35.368,,5276292788.0
